text_content,event_type
smog and low visibility enveloping entire city center of surat during early hours.,Fog
Sweltering heat and extreme sunstroke warnings issued for residents in Chennai today.,Heatwave
Thick dust clouds and turbulent winds creating blinding dust haze in Hyderabad.,DustStorm
Mild overcast weather in Visakhapatnam with pleasant afternoon breeze and clear skies.,Other
Smog and low visibility enveloping entire city center of Hyderabad during early hours.,Fog
Severe weather alert: thunderstorm with sudden wind squalls hitting Jaipur this evening.,Thunderstorm
Severe weather alert: thunderstorm with sudden wind squalls hitting Bengaluru this evening.,Thunderstorm
Extreme monsoon rain submerges underpasses in Kolkata. Emergency services responding to waterlogging.,Flood
Partly cloudy sky observed in Lucknow with gentle evening breeze.,Other
Humidity levels rising slightly in Ahmedabad with moderate cloud cover.,Other
Hot summer breeze and blistering sunshine making commute difficult in Ahmedabad.,Heatwave
Sudden duststorm engulfing highway corridors near Kochi with high wind speeds.,DustStorm
Light scattered drizzle in parts of Guwahati followed by mild sunshine.,Other
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Indore.,Thunderstorm
Dense fog advisory active in Visakhapatnam. Drivers urged to keep fog lights on.,Fog
Loud thunderclaps and torrential rain accompanied by high lightning activity in Delhi.,Thunderstorm
Clear blue skies and comfortable temperature recorded across Kolkata today.,Other
Partly cloudy sky observed in Lucknow with gentle evening breeze.,Other
Intense thunderstorm activity with heavy rain and small hail reported in suburban Bhopal.,Thunderstorm
"Tempest winds tearing through streets of Pune, downing power cables.",StrongWind
Thick smog and mist blinding early morning commute across key highways in Kochi.,Fog
Thick dust clouds and turbulent winds creating blinding dust haze in Kolkata.,DustStorm
Dense fog advisory active in Visakhapatnam. Drivers urged to keep fog lights on.,Fog
Loud thunderclaps and torrential rain accompanied by high lightning activity in Chandigarh.,Thunderstorm
Continuous lightning and heavy thunderclaps terrifying residents across Visakhapatnam.,Thunderstorm
Flooding reported in Bhopal after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Sweltering heat and extreme sunstroke warnings issued for residents in Indore today.,Heatwave
Blistering heatwave and hot dry winds blowing across Lucknow. Authorities issue heat advisory.,Heatwave
Misty morning and poor visibility causing slow moving traffic on arterial roads in Visakhapatnam.,Fog
Torrential downpour has inundated low-lying residential sectors near Kolkata. Stranded vehicles reported.,Flood
Severe gusty winds uprooting large trees and damaging tin roofs in Lucknow.,StrongWind
Torrential downpour has inundated low-lying residential sectors near Mumbai. Stranded vehicles reported.,Flood
humidity levels rising slightly in kolkata with moderate cloud cover.,Other
violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting bengaluru.,Thunderstorm
Strong winds and high velocity squalls creating hazardous conditions in Visakhapatnam.,StrongWind
Extreme monsoon rain submerges underpasses in Bhubaneswar. Emergency services responding to waterlogging.,Flood
Severe weather alert: thunderstorm with sudden wind squalls hitting Jaipur this evening.,Thunderstorm
strong squall and dust storm causing tree branches to snap in outer jaipur.,DustStorm
Strong squall and dust storm causing tree branches to snap in outer Patna.,DustStorm
Light scattered drizzle in parts of Guwahati followed by mild sunshine.,Other
Flooding reported in Surat after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
sweltering heat and extreme sunstroke warnings issued for residents in visakhapatnam today.,Heatwave
Loud thunderclaps and torrential downpour accompanied by high lightning activity in Kolkata.,Thunderstorm
Dense winter fog reducing visibility to below 20 meters near airport road in Mumbai.,Fog
Light scattered drizzle in parts of Bengaluru followed by mild sunshine.,Other
Humidity levels rising slightly in Pune with moderate cloud cover.,Other
Violent windstorm knocking down hoardings and electrical poles across Kolkata.,StrongWind
Scorching heatwave conditions in Patna with mercury touching 44.5 degrees celsius.,Heatwave
Partly cloudy sky observed in Lucknow with gentle evening breeze.,Other
"Tempest winds tearing through streets of Patna, downing power cables.",StrongWind
Mild overcast weather in Pune with pleasant afternoon breeze and clear skies.,Other
Thick smog and mist blinding early morning commute across key highways in Kolkata.,Fog
Strong winds and high velocity squalls creating hazardous conditions in Kolkata.,StrongWind
Dense fog advisory active in Mumbai. Drivers urged to keep fog lights on.,Fog
Humidity levels rising slightly in Bhopal with moderate cloud cover.,Other
Heavy deluge causing river overflow and severe urban flooding in outskirts of Bhopal.,Flood
Flooding reported in Mumbai after 4 hours of non-stop downpour. Submerged streets disrupting traffic.,Flood
Thick dust clouds and turbulent winds creating blinding dust haze in Lucknow.,DustStorm
"Massive dust storm sweeping through Nagpur, pushing thick dust clouds into residential areas.",DustStorm
Misty morning and poor visibility causing slow moving traffic on arterial roads in Kochi.,Fog
Thick smog and mist blinding early morning commute across key highways in Bhopal.,Fog
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Lucknow.,StrongWind
Scorching heatwave conditions in Indore with mercury touching 44.5 degrees celsius.,Heatwave
Severe gusty winds uprooting large trees and damaging tin roofs in Bhopal.,StrongWind
Thick smog and mist blinding early morning commute across key highways in Bhubaneswar.,Fog
Dense fog advisory active in Kolkata. Drivers urged to keep fog lights on.,Fog
Loud thunderclaps and torrential rain accompanied by high lightning activity in Jaipur.,Thunderstorm
Sweltering heat and extreme sunstroke warnings issued for residents in Indore today.,Heatwave
Blinding dust haze and windstorm disrupting local markets in Hyderabad.,DustStorm
intense thunderstorm activity with heavy rain and small hail reported in suburban ahmedabad.,Thunderstorm
Flooding reported in Nagpur after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Intense thunderstorm activity with heavy rain and small hail reported in suburban Kolkata.,Thunderstorm
Waterlogging reported near railway station and main bus terminus in Chandigarh. Commuters advised to avoid.,Flood
Torrential downpour has inundated low-lying residential sectors near Lucknow. Stranded vehicles reported.,Flood
Continuous lightning and severe thunderclaps terrifying residents across Mumbai.,Thunderstorm
Hot summer breeze and blistering sunshine making commute difficult in Kochi.,Heatwave
Waterlogging reported near railway station and main bus terminus in Guwahati. Commuters advised to avoid.,Flood
Severe heat stroke alert active across Chandigarh. Temperatures expected to exceed 45C tomorrow.,Heatwave
Flooding reported in Mumbai after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Clear blue skies and comfortable temperature recorded across Indore today.,Other
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Kochi.,StrongWind
Normal seasonal weather condition recorded in Bengaluru today. No warnings issued.,Other
Torrential downpour has inundated low-lying residential sectors near Bengaluru. Stranded vehicles reported.,Flood
Sudden duststorm engulfing highway corridors near Hyderabad with high wind speeds.,DustStorm
Sweltering heat and extreme sunstroke warnings issued for residents in Visakhapatnam today.,Heatwave
Mild overcast weather in Mumbai with pleasant afternoon breeze and clear skies.,Other
Flooding reported in Bhopal after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Torrential downpour has inundated low-lying residential sectors near Pune. Stranded vehicles reported.,Flood
Flooding reported in Patna after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Clear blue skies and comfortable temperature recorded across Kochi today.,Other
Hot summer breeze and blistering sunshine making commute difficult in Mumbai.,Heatwave
Humidity levels rising slightly in Lucknow with moderate cloud cover.,Other
Gale force winds and cyclone warnings issued for coastal areas surrounding Surat.,StrongWind
Blinding sandstorm and heavy dust haze rapidly reducing visibility across Kochi.,DustStorm
Severe heat stroke alert active across Patna. Temperatures expected to exceed 45C tomorrow.,Heatwave
Incessant rainfall leading to severe waterlogging on main roads in Visakhapatnam. Water levels reaching 2 feet deep.,Flood
Smog and low visibility enveloping entire city center of Jaipur during early hours.,Fog
Severe heat stroke alert active across Kolkata. Temperatures expected to exceed 45C tomorrow.,Heatwave
Thick smog and mist blinding early morning commute across key highways in Visakhapatnam.,Fog
Severe weather alert: thunderstorm with sudden wind squalls hitting Surat this evening.,Thunderstorm
Dense fog advisory active in Lucknow. Drivers urged to keep fog lights on.,Fog
Zero visibility reported in Nagpur due to heavy blinding fog. Flight operations delayed.,Fog
Normal seasonal weather condition recorded in Kochi today. No warnings issued.,Other
Scorching heatwave conditions in Mumbai with mercury touching 44.5 degrees celsius.,Heatwave
sweltering heat and extreme sunstroke warnings issued for residents in guwahati today.,Heatwave
Hot summer breeze and blistering sunshine making commute difficult in Nagpur.,Heatwave
loud thunderclaps and torrential rain accompanied by high lightning activity in chandigarh.,Thunderstorm
Severe heat stroke alert active across Nagpur. Temperatures expected to exceed 45C tomorrow.,Heatwave
Clear blue skies and comfortable temperature recorded across Indore today.,Other
Misty morning and poor visibility causing slow moving traffic on arterial roads in Bengaluru.,Fog
"Massive dust storm sweeping through Guwahati, pushing thick dust clouds into residential areas.",DustStorm
Mild overcast weather in Kolkata with pleasant afternoon breeze and clear skies.,Other
Violent windstorm knocking down hoardings and electrical poles across Ahmedabad.,StrongWind
Light scattered drizzle in parts of Kolkata followed by mild sunshine.,Other
Normal seasonal weather condition recorded in Visakhapatnam today. No warnings issued.,Other
Mercury hits seasonal high in Chandigarh. High temperature causing unbearable heatwave conditions.,Heatwave
Flooding reported in Guwahati after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
mercury hits seasonal high in indore. high temperature causing unbearable heatwave conditions.,Heatwave
Dense fog advisory active in Lucknow. Drivers urged to keep fog lights on.,Fog
Intense thunderstorm activity with heavy rain and small hail reported in suburban Ahmedabad.,Thunderstorm
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Chennai.,Thunderstorm
Waterlogging reported near railway station and main bus terminus in Bhubaneswar. Commuters advised to avoid.,Flood
Severe heat stroke alert active across Bengaluru. Temperatures expected to exceed 45C tomorrow.,Heatwave
Smog and low visibility enveloping entire city center of Patna during early hours.,Fog
Severe weather alert: thunderstorm with sudden wind squalls hitting Kolkata this evening.,Thunderstorm
Zero visibility reported in Kochi due to heavy blinding fog. Flight operations delayed.,Fog
Dense fog advisory active in Jaipur. Drivers urged to keep fog lights on.,Fog
Thick dust clouds and turbulent winds creating blinding dust haze in Mumbai.,DustStorm
Blinding dust haze and windstorm disrupting local markets in Surat.,DustStorm
Sweltering heat and extreme sunstroke warnings issued for residents in Visakhapatnam today.,Heatwave
Normal seasonal weather condition recorded in Hyderabad today. No warnings issued.,Other
Strong squall and dust storm causing tree branches to snap in outer Delhi.,DustStorm
Smog and low visibility enveloping entire city center of Patna during early hours.,Fog
Clear blue skies and comfortable temperature recorded across Chennai today.,Other
Severe weather alert: thunderstorm with sudden wind squalls hitting Surat this evening.,Thunderstorm
Extreme monsoon rain submerges underpasses in Jaipur. Emergency services responding to waterlogging.,Flood
severe gusty winds uprooting large trees and damaging tin roofs in nagpur.,StrongWind
Gale force winds and cyclone warnings issued for coastal areas surrounding Lucknow.,StrongWind
incessant rainfall leading to severe waterlogging on main roads in bengaluru. water levels reaching 2 feet deep.,Flood
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Nagpur.,Thunderstorm
Sweltering heat and extreme sunstroke warnings issued for residents in Chennai today.,Heatwave
dense fog advisory active in bengaluru. drivers urged to keep fog lights on.,Fog
Clear blue skies and comfortable temperature recorded across Mumbai today.,Other
"massive dust storm sweeping through chandigarh, pushing thick dust clouds into residential areas.",DustStorm
Hot summer breeze and blistering sunshine making commute difficult in Delhi.,Heatwave
Torrential downpour has inundated low-lying residential sectors near Mumbai. Stranded vehicles reported.,Flood
Sudden duststorm engulfing highway corridors near Patna with high wind speeds.,DustStorm
Misty morning and poor visibility causing slow moving traffic on arterial roads in Bhopal.,Fog
Strong winds and high velocity squalls creating hazardous conditions in Chennai.,StrongWind
Waterlogging reported near railway station and main bus terminus in Kochi. Commuters advised to avoid.,Flood
Smog and low visibility enveloping entire city center of Pune during early hours.,Fog
loud thunderclaps and torrential rain accompanied by high lightning activity in kochi.,Thunderstorm
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Indore.,Thunderstorm
Gale force winds and cyclone warnings issued for coastal areas surrounding Delhi.,StrongWind
Severe gusty winds uprooting large trees and damaging tin roofs in Bhubaneswar.,StrongWind
Scorching heatwave conditions in Lucknow with mercury touching 44.5 degrees celsius.,Heatwave
Mild overcast weather in Bengaluru with pleasant afternoon breeze and clear skies.,Other
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Kolkata.,StrongWind
Mercury hits seasonal high in Delhi. High temperature causing unbearable heatwave conditions.,Heatwave
severe gusty winds uprooting large trees and damaging tin roofs in hyderabad.,StrongWind
Violent windstorm knocking down hoardings and electrical poles across Bengaluru.,StrongWind
Heavy deluge causing river overflow and severe urban flooding in outskirts of Kolkata.,Flood
Zero visibility reported in Kochi due to heavy blinding fog. Flight operations delayed.,Fog
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Visakhapatnam.,Thunderstorm
Heavy deluge causing river overflow and severe urban flooding in outskirts of Hyderabad.,Flood
Intense thunderstorm activity with heavy rain and small hail reported in suburban Bengaluru.,Thunderstorm
Intense thunderstorm activity with heavy rain and small hail reported in suburban Bhubaneswar.,Thunderstorm
humidity levels rising slightly in chandigarh with moderate cloud cover.,Other
Blistering heatwave and hot dry winds blowing across Ahmedabad. Authorities issue heat advisory.,Heatwave
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Guwahati.,StrongWind
Severe weather alert: thunderstorm with sudden wind squalls hitting Kochi this evening.,Thunderstorm
Dense fog advisory active in Chandigarh. Drivers urged to keep fog lights on.,Fog
Intense thunderstorm activity with heavy rain and small hail reported in suburban Chennai.,Thunderstorm
Severe heat stroke alert active across Kolkata. Temperatures expected to exceed 45C tomorrow.,Heatwave
waterlogging reported near railway station and main bus terminus in jaipur. commuters advised to avoid.,Flood
Gale force winds and cyclone warnings issued for coastal areas surrounding Indore.,StrongWind
Zero visibility reported in Visakhapatnam due to heavy blinding fog. Flight operations delayed.,Fog
Severe gusty winds uprooting large trees and damaging tin roofs in Nagpur.,StrongWind
"Massive dust storm sweeping through Bengaluru, pushing thick dust clouds into residential areas.",DustStorm
Mercury hits seasonal high in Chennai. High temperature causing unbearable heatwave conditions.,Heatwave
Incessant rainfall leading to severe waterlogging on main roads in Hyderabad. Water levels reaching 2 feet deep.,Flood
Blinding dust haze and windstorm disrupting local markets in Mumbai.,DustStorm
Thick smog and mist blinding early morning commute across key highways in Lucknow.,Fog
Mercury hits seasonal high in Ahmedabad. High temperature causing unbearable heatwave conditions.,Heatwave
Mercury hits seasonal high in Ahmedabad. High temperature causing unbearable heatwave conditions.,Heatwave
"Massive dust storm sweeping through Surat, pushing thick dust clouds into residential areas.",DustStorm
"tempest winds tearing through streets of chennai, downing power cables.",StrongWind
Misty morning and poor visibility causing slow moving traffic on arterial roads in Bhubaneswar.,Fog
Continuous lightning and severe thunderclaps terrifying residents across Ahmedabad.,Thunderstorm
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Ahmedabad.,Thunderstorm
Incessant rainfall leading to severe waterlogging on main roads in Hyderabad. Water levels reaching 2 feet deep.,Flood
Severe gusty winds uprooting large trees and damaging tin roofs in Bengaluru.,StrongWind
Strong squall and dust storm causing tree branches to snap in outer Chandigarh.,DustStorm
Normal seasonal weather condition recorded in Bhopal today. No warnings issued.,Other
Blistering heatwave and hot dry winds blowing across Delhi. Authorities issue heat advisory.,Heatwave
Strong squall and dust storm causing tree branches to snap in outer Pune.,DustStorm
Mild overcast weather in Mumbai with pleasant afternoon breeze and clear skies.,Other
Torrential downpour has inundated low-lying residential sectors near Bengaluru. Stranded vehicles reported.,Flood
Humidity levels rising slightly in Ahmedabad with moderate cloud cover.,Other
gale force winds and cyclone warnings issued for coastal areas surrounding bhopal.,StrongWind
Smog and low visibility enveloping entire city center of Guwahati during early hours.,Fog
Blinding dust haze and windstorm disrupting local markets in Hyderabad.,DustStorm
Clear blue skies and comfortable temperature recorded across Lucknow today.,Other
Severe gusty winds uprooting large trees and damaging tin roofs in Lucknow.,StrongWind
Blistering heatwave and hot dry winds blowing across Patna. Authorities issue heat advisory.,Heatwave
Scorching heatwave conditions in Mumbai with mercury touching 44.5 degrees celsius.,Heatwave
Thick smog and mist blinding early morning commute across key highways in Visakhapatnam.,Fog
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Bhubaneswar.,Thunderstorm
Torrential downpour has inundated low-lying residential sectors near Ahmedabad. Stranded vehicles reported.,Flood
Violent windstorm knocking down hoardings and electrical poles across Ahmedabad.,StrongWind
Blistering heatwave and hot dry winds blowing across Lucknow. Authorities issue heat advisory.,Heatwave
mercury hits seasonal high in surat. high temperature causing unbearable heatwave conditions.,Heatwave
Loud thunderclaps and torrential rain accompanied by high lightning activity in Ahmedabad.,Thunderstorm
Light scattered drizzle in parts of Lucknow followed by mild sunshine.,Other
Continuous lightning and severe thunderclaps terrifying residents across Mumbai.,Thunderstorm
Blinding dust haze and windstorm disrupting local markets in Hyderabad.,DustStorm
Clear blue skies and comfortable temperature recorded across Kolkata today.,Other
Smog and low visibility enveloping entire city center of Patna during early hours.,Fog
Humidity levels rising slightly in Kolkata with moderate cloud cover.,Other
Waterlogging reported near railway station and main bus terminus in Visakhapatnam. Commuters advised to avoid.,Flood
Strong winds and high velocity squalls creating hazardous conditions in Visakhapatnam.,StrongWind
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Ahmedabad.,StrongWind
Extreme monsoon rain submerges underpasses in Chennai. Emergency services responding to waterlogging.,Flood
Dense fog advisory active in Pune. Drivers urged to keep fog lights on.,Fog
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Lucknow.,Thunderstorm
Zero visibility reported in Patna due to heavy blinding fog. Flight operations delayed.,Fog
Continuous lightning and severe thunderclaps terrifying residents across Kochi.,Thunderstorm
Humidity levels rising slightly in Mumbai with moderate cloud cover.,Other
Scorching heatwave conditions in Bengaluru with mercury touching 44.5 degrees celsius.,Heatwave
Sudden duststorm engulfing highway corridors near Jaipur with high wind speeds.,DustStorm
Zero visibility reported in Guwahati due to heavy blinding fog. Flight operations delayed.,Fog
Humidity levels rising slightly in Ahmedabad with moderate cloud cover.,Other
Continuous lightning and severe thunderclaps terrifying residents across Guwahati.,Thunderstorm
Clear blue skies and comfortable temperature recorded across Patna today.,Other
Extreme monsoon downpour submerges underpasses in Guwahati. Emergency services responding to waterlogging.,Flood
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Patna.,Thunderstorm
Clear blue skies and comfortable temperature recorded across Pune today.,Other
Blinding sandstorm and heavy dust haze rapidly reducing visibility across Visakhapatnam.,DustStorm
Thick dust clouds and turbulent winds creating blinding dust haze in Lucknow.,DustStorm
Thick dust clouds and turbulent winds creating blinding dust haze in Bhubaneswar.,DustStorm
Extreme monsoon downpour submerges underpasses in Chandigarh. Emergency services responding to waterlogging.,Flood
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Delhi.,Thunderstorm
Sudden duststorm engulfing highway corridors near Guwahati with high wind speeds.,DustStorm
Heavy deluge causing river overflow and severe urban flooding in outskirts of Ahmedabad.,Flood
"Tempest winds tearing through streets of Hyderabad, downing power cables.",StrongWind
Severe heat stroke alert active across Indore. Temperatures expected to exceed 45C tomorrow.,Heatwave
"Tempest winds tearing through streets of Hyderabad, downing power cables.",StrongWind
Hot summer breeze and blistering sunshine making commute difficult in Patna.,Heatwave
Humidity levels rising slightly in Indore with moderate cloud cover.,Other
Severe heat stroke alert active across Hyderabad. Temperatures expected to exceed 45C tomorrow.,Heatwave
blistering heatwave and hot dry winds blowing across bengaluru. authorities issue heat advisory.,Heatwave
Continuous lightning and severe thunderclaps terrifying residents across Ahmedabad.,Thunderstorm
Strong squall and dust storm causing tree branches to snap in outer Surat.,DustStorm
Zero visibility reported in Surat due to heavy blinding fog. Flight operations delayed.,Fog
Continuous lightning and severe thunderclaps terrifying residents across Guwahati.,Thunderstorm
Hot summer breeze and blistering sunshine making commute difficult in Patna.,Heatwave
Waterlogging reported near railway station and main bus terminus in Chandigarh. Commuters advised to avoid.,Flood
Smog and low visibility enveloping entire city center of Kolkata during early hours.,Fog
Thick dust clouds and turbulent winds creating blinding dust haze in Mumbai.,DustStorm
Scorching heatwave conditions in Indore with mercury touching 44.5 degrees celsius.,Heatwave
Strong squall and dust storm causing tree branches to snap in outer Visakhapatnam.,DustStorm
"Tempest winds tearing through streets of Jaipur, downing power cables.",StrongWind
Dense fog advisory active in Bengaluru. Drivers urged to keep fog lights on.,Fog
Intense thunderstorm activity with heavy rain and small hail reported in suburban Mumbai.,Thunderstorm
Thick dust clouds and turbulent winds creating blinding dust haze in Lucknow.,DustStorm
Dense winter fog reducing visibility to below 20 meters near airport road in Lucknow.,Fog
Dense winter fog reducing visibility to below 20 meters near airport road in Kolkata.,Fog
Blinding sandstorm and severe dust haze rapidly reducing visibility across Indore.,DustStorm
blinding dust haze and windstorm disrupting local markets in bengaluru.,DustStorm
Continuous lightning and severe thunderclaps terrifying residents across Guwahati.,Thunderstorm
"Massive dust storm sweeping through Nagpur, pushing thick dust clouds into residential areas.",DustStorm
High wind gusts exceeding 75 km/h causing structural damages in commercial hubs of Jaipur.,StrongWind
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Pune.,Thunderstorm
Gale force winds and cyclone warnings issued for coastal areas surrounding Delhi.,StrongWind
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Bhubaneswar.,Thunderstorm
Incessant downpourfall leading to heavy waterlogging on main roads in Jaipur. Water levels reaching 2 feet deep.,Flood
Blinding dust haze and windstorm disrupting local markets in Patna.,DustStorm
Blinding dust haze and windstorm disrupting local markets in Kolkata.,DustStorm
zero visibility reported in pune due to heavy blinding fog. flight operations delayed.,Fog
Blistering heatwave and hot dry winds blowing across Delhi. Authorities issue heat advisory.,Heatwave
Severe gusty winds uprooting large trees and damaging tin roofs in Hyderabad.,StrongWind
Loud thunderclaps and torrential rain accompanied by high lightning activity in Mumbai.,Thunderstorm
Blinding dust haze and windstorm disrupting local markets in Lucknow.,DustStorm
Smog and low visibility enveloping entire city center of Kolkata during early hours.,Fog
Loud thunderclaps and torrential downpour accompanied by high lightning activity in Bhopal.,Thunderstorm
Thick smog and mist blinding early morning commute across key highways in Patna.,Fog
Mercury hits seasonal high in Lucknow. High temperature causing unbearable heatwave conditions.,Heatwave
Dense winter fog reducing visibility to below 20 meters near airport road in Lucknow.,Fog
Normal seasonal weather condition recorded in Kolkata today. No warnings issued.,Other
Light scattered drizzle in parts of Lucknow followed by mild sunshine.,Other
Scorching heatwave conditions in Nagpur with mercury touching 44.5 degrees celsius.,Heatwave
Loud thunderclaps and torrential rain accompanied by high lightning activity in Hyderabad.,Thunderstorm
Strong squall and dust storm causing tree branches to snap in outer Patna.,DustStorm
Flooding reported in Visakhapatnam after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Dense fog advisory active in Bhubaneswar. Drivers urged to keep fog lights on.,Fog
Blistering heatwave and hot dry winds blowing across Pune. Authorities issue heat advisory.,Heatwave
Gale force winds and cyclone warnings issued for coastal areas surrounding Guwahati.,StrongWind
Dense fog advisory active in Guwahati. Drivers urged to keep fog lights on.,Fog
Torrential downpour has inundated low-lying residential sectors near Chennai. Stranded vehicles reported.,Flood
thick smog and mist blinding early morning commute across key highways in delhi.,Fog
hot summer breeze and blistering sunshine making commute difficult in ahmedabad.,Heatwave
Partly cloudy sky observed in Pune with gentle evening breeze.,Other
Intense thunderstorm activity with heavy downpour and small hail reported in suburban Patna.,Thunderstorm
Severe gusty winds uprooting large trees and damaging tin roofs in Kochi.,StrongWind
Blinding dust haze and windstorm disrupting local markets in Kochi.,DustStorm
Severe weather alert: thunderstorm with sudden wind squalls hitting Ahmedabad this evening.,Thunderstorm
Light scattered drizzle in parts of Kolkata followed by mild sunshine.,Other
Waterlogging reported near railway station and main bus terminus in Pune. Commuters advised to avoid.,Flood
Violent windstorm knocking down hoardings and electrical poles across Hyderabad.,StrongWind
Thick smog and mist blinding early morning commute across key highways in Surat.,Fog
Scorching heatwave conditions in Bengaluru with mercury touching 44.5 degrees celsius.,Heatwave
Torrential downpour has inundated low-lying residential sectors near Indore. Stranded vehicles reported.,Flood
scorching heatwave conditions in lucknow with mercury touching 44.5 degrees celsius.,Heatwave
"Tempest winds tearing through streets of Chandigarh, downing power cables.",StrongWind
Intense thunderstorm activity with heavy rain and small hail reported in suburban Kolkata.,Thunderstorm
"tempest winds tearing through streets of ahmedabad, downing power cables.",StrongWind
Blinding dust haze and windstorm disrupting local markets in Bengaluru.,DustStorm
Normal seasonal weather condition recorded in Pune today. No warnings issued.,Other
Blinding dust haze and windstorm disrupting local markets in Mumbai.,DustStorm
Normal seasonal weather condition recorded in Surat today. No warnings issued.,Other
Thick smog and mist blinding early morning commute across key highways in Surat.,Fog
Strong winds and high velocity squalls creating hazardous conditions in Chandigarh.,StrongWind
Continuous lightning and severe thunderclaps terrifying residents across Guwahati.,Thunderstorm
Continuous lightning and heavy thunderclaps terrifying residents across Mumbai.,Thunderstorm
Mercury hits seasonal high in Hyderabad. High temperature causing unbearable heatwave conditions.,Heatwave
Intense thunderstorm activity with heavy rain and small hail reported in suburban Bhubaneswar.,Thunderstorm
Strong squall and dust storm causing tree branches to snap in outer Kolkata.,DustStorm
Intense thunderstorm activity with heavy rain and small hail reported in suburban Indore.,Thunderstorm
Thick dust clouds and turbulent winds creating blinding dust haze in Lucknow.,DustStorm
Severe gusty winds uprooting large trees and damaging tin roofs in Bhopal.,StrongWind
Hot summer breeze and blistering sunshine making commute difficult in Jaipur.,Heatwave
Violent windstorm knocking down hoardings and electrical poles across Bengaluru.,StrongWind
Intense thunderstorm activity with heavy rain and small hail reported in suburban Bhubaneswar.,Thunderstorm
Misty morning and poor visibility causing slow moving traffic on arterial roads in Ahmedabad.,Fog
Cloudburst and severe hailstorm disrupting power supply and damaging crops near Pune.,Thunderstorm
Mercury hits seasonal high in Indore. High temperature causing unbearable heatwave conditions.,Heatwave
Strong squall and dust storm causing tree branches to snap in outer Chennai.,DustStorm
Sweltering heat and extreme sunstroke warnings issued for residents in Hyderabad today.,Heatwave
Intense thunderstorm activity with heavy rain and small hail reported in suburban Indore.,Thunderstorm
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Bhubaneswar.,Thunderstorm
Incessant rainfall leading to severe waterlogging on main roads in Delhi. Water levels reaching 2 feet deep.,Flood
Hot summer breeze and blistering sunshine making commute difficult in Indore.,Heatwave
violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting mumbai.,Thunderstorm
Flooding reported in Lucknow after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Violent thunderstorm with frequent lightning strikes and sudden heavy downpour hitting Bhopal.,Thunderstorm
Partly cloudy sky observed in Chennai with gentle evening breeze.,Other
flooding reported in indore after 4 hours of non-stop rain. submerged streets disrupting traffic.,Flood
Light scattered drizzle in parts of Bhopal followed by mild sunshine.,Other
Partly cloudy sky observed in Chandigarh with gentle evening breeze.,Other
Strong winds and high velocity squalls creating hazardous conditions in Kochi.,StrongWind
Dense winter fog reducing visibility to below 20 meters near airport road in Guwahati.,Fog
Normal seasonal weather condition recorded in Mumbai today. No warnings issued.,Other
Heavy deluge causing river overflow and severe urban flooding in outskirts of Chandigarh.,Flood
Continuous lightning and heavy thunderclaps terrifying residents across Patna.,Thunderstorm
Continuous lightning and severe thunderclaps terrifying residents across Indore.,Thunderstorm
Incessant rainfall leading to severe waterlogging on main roads in Hyderabad. Water levels reaching 2 feet deep.,Flood
Severe heat stroke alert active across Kolkata. Temperatures expected to exceed 45C tomorrow.,Heatwave
Flooding reported in Ahmedabad after 4 hours of non-stop rain. Submerged streets disrupting traffic.,Flood
Mercury hits seasonal high in Bengaluru. High temperature causing unbearable heatwave conditions.,Heatwave
Gale force winds and cyclone warnings issued for coastal areas surrounding Nagpur.,StrongWind
Zero visibility reported in Guwahati due to heavy blinding fog. Flight operations delayed.,Fog
Light scattered drizzle in parts of Pune followed by mild sunshine.,Other
"Massive dust storm sweeping through Bengaluru, pushing thick dust clouds into residential areas.",DustStorm
